Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,6,16/02/2018 01:47:35,5030860,6,5,370,935,370,0,61.66666667,151.0518675,935,0,187,418.1447118,259.3989894,2.186504892,503086,1243104.508,3925560,2,4988445,997689,1692632.691,3925560,1397,5030856,1257714,2456456.418,4942265,26,0,0,0,0,208,168,1.192639032,0.99386586,0,935,108.75,281.1027392,79018.75,0,0,0,0,1,1,0,0,0,118.6363636,61.66666667,187,0,0,0,0,0,0,6,370,5,935,225,237,1,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
54108,6,16/02/2018 01:46:06,4073184,5,3,935,334,935,0,187,418.1447118,334,0,111.3333333,192.8349899,311.5498833,1.964065458,581883.4286,1515872.075,4019381,6,4073184,1018296,2000810.351,4019387,25,10830,5415,965.9078631,6098,4732,0,0,0,0,168,104,1.227540911,0.736524547,0,935,141,317.579124,100856.5,0,0,0,0,1,0,0,0,0,158.625,187,111.3333333,0,0,0,0,0,0,5,935,3,334,237,211,1,32,0,0,0,0,0,0,0,0,Benign
80,6,16/02/2018 01:46:32,59179,3,0,0,0,0,0,0,0,0,0,0,0,0,50.69365822,29589.5,20119.30925,43816,15363,59179,29589.5,20119.30925,43816,15363,0,0,0,0,0,0,0,0,0,96,0,50.69365822,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
43152,6,16/02/2018 01:48:35,3920645,5,3,935,367,935,0,187,418.1447118,367,0,122.3333333,211.8875488,332.0882151,2.040480584,560092.1429,1450600.45,3849360,7,3920645,980161.25,1912991.664,3849367,48,61232,30616,42724.80593,60827,405,0,0,0,0,168,104,1.275300365,0.765180219,0,935,144.6666667,320.2651245,102569.75,0,0,0,0,1,0,0,0,0,162.75,187,122.3333333,0,0,0,0,0,0,5,935,3,367,219,211,1,32,0,0,0,0,0,0,0,0,Benign
55690,6,16/02/2018 01:45:36,5442270,5,4,935,313,935,0,187,418.1447118,313,0,78.25,156.5,229.3160758,1.653721701,680283.75,1885307.606,5345733,5,5442270,1360567.5,2656972.086,5345738,6092,90760,30253.33333,40922.87021,76871,253,0,0,0,0,168,136,0.918734278,0.734987423,0,935,124.8,301.1908955,90715.95556,0,0,0,0,1,0,0,0,0,138.6666667,187,78.25,0,0,0,0,0,0,5,935,4,313,219,225,1,32,0,0,0,0,5345733,0,5345733,5345733,Benign
21,6,16/02/2018 10:54:51,3,1,1,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,333333.3333,333333.3333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest
46024,6,16/02/2018 01:47:10,4127492,5,3,935,371,935,0,187,418.1447118,371,0,123.6666667,214.1969499,316.4149076,1.938223018,589641.7143,1518979.797,4034025,9,4127492,1031873,2001561.836,4034034,24,45801,22900.5,29422.00606,43705,2096,0,0,0,0,168,104,1.211389386,0.726833632,0,935,145.1111111,320.6148174,102793.8611,0,0,0,0,1,0,0,0,0,163.25,187,123.6666667,0,0,0,0,0,0,5,935,3,371,219,211,1,32,0,0,0,0,0,0,0,0,Benign
57982,6,16/02/2018 01:47:28,4231007,5,4,935,316,935,0,187,418.1447118,316,0,79,158,295.6742922,2.127153181,528875.875,1432624.27,4074035,6,4231007,1057751.75,2025641.275,4095655,39,4168877,1389625.667,2324788.219,4074035,37413,0,0,0,0,168,136,1.181751767,0.945401414,0,935,125.1,301.4006009,90842.32222,0,0,0,0,1,1,0,0,0,139,187,79,0,0,0,0,0,0,5,935,4,316,219,211,1,32,0,0,0,0,0,0,0,0,Benign
80,6,16/02/2018 01:46:49,30294,2,0,0,0,0,0,0,0,0,0,0,0,0,66.01967386,30294,0,30294,30294,30294,30294,0,30294,30294,0,0,0,0,0,0,0,0,0,64,0,66.01967386,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk
59650,6,16/02/2018 10:09:23,887,2,0,848,0,848,0,424,599.6265504,0,0,0,0,956031.5671,2254.791432,887,0,887,887,887,887,0,887,887,0,0,0,0,0,1,0,0,0,64,0,2254.791432,0,0,848,565.3333333,489.5930283,239701.3333,0,1,0,0,1,0,0,0,0,848,424,0,0,0,0,0,0,0,2,848,0,0,233,-1,0,32,0,0,0,0,0,0,0,0,Benign
