Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,timestamp,source_ip
32850,6,2/16/2018 1:45,4329740,5,3,935,325,935,0,187,418.1447118,325,0,108.3333333,187.6388375,291.0105457,1.847686004,618534.2857,1614859.875,4280599,9,4329740,1082435,2132155.172,4280620,37,22683,11341.5,15636.25225,22398,285,0,0,0,0,168,104,1.154803753,0.6928822520000001,0,935,140,316.9088986,100431.25,0,0,0,0,1,0,0,0,0,157.5,187,108.3333333,0,0,0,0,0,0,5,935,3,325,219,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
80,6,2/16/2018 1:48,10531,2,0,0,0,0,0,0,0,0,0,0,0,0,189.9154876,10531,0,10531,10531,10531,10531,0,10531,10531,0,0,0,0,0,0,0,0,0,64,0,189.9154876,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
21,6,2/16/2018 10:48,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
21,6,2/16/2018 10:23,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1000000,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,20,500000,500000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,26883,0,0,40,0,0,0,0,0,0,0,0,DoS attacks-SlowHTTPTest,53:48.2,87.236.232.200
80,6,2/16/2018 1:46,810,2,0,0,0,0,0,0,0,0,0,0,0,0,2469.135802,810,0,810,810,810,810,0,810,810,0,0,0,0,0,0,0,0,0,64,0,2469.135802,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,225,-1,0,32,0,0,0,0,0,0,0,0,DoS attacks-Hulk,53:48.2,87.236.232.200
45240,6,2/16/2018 1:45,5228953,5,3,935,304,935,0,187,418.1447118,304,0,101.3333333,175.5144818,236.9499209,1.529942992,746993.2857,1951759.918,5173060,4,5228953,1307238.25,2577267.95,5173068,18,17342,8671,3000.961179,10793,6549,0,0,0,0,168,104,0.95621437,0.5737286220000001,0,935,137.6666667,315.4504715,99509,0,0,0,0,1,0,0,0,0,154.875,187,101.3333333,0,0,0,0,0,0,5,935,3,304,219,211,1,32,0,0,0,0,5173060,0,5173060,5173060,Benign,53:48.2,87.236.232.200
48670,6,2/16/2018 1:47,4480571,4,5,935,358,935,0,233.75,467.5,358,0,71.6,160.1024672,288.5792905,2.008672555,560071.375,1549908.628,4395760,4,4475797,1491932.333,2514799.761,4395767,34915,84811,21202.75,14688.5489,37697,1996,0,0,0,0,136,168,0.892743358,1.115929197,0,935,129.3,304.631672,92800.45556,0,0,0,0,1,0,0,0,1,143.6666667,233.75,71.6,0,0,0,0,0,0,4,935,5,358,219,225,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
51704,6,2/16/2018 1:47,4253115,5,3,935,308,935,0,187,418.1447118,308,0,102.6666667,177.8238829,292.2563815,1.880974298,607587.8571,1579203.882,4188735,8,4253115,1063278.75,2083703.786,4188743,35,26098,13049,12135.36658,21630,4468,0,0,0,0,168,104,1.175608936,0.705365362,0,935,138.1111111,315.7168211,99677.11111,0,0,0,0,1,0,0,0,0,155.375,187,102.6666667,0,0,0,0,0,0,5,935,3,308,219,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
40084,6,2/16/2018 1:48,4418170,5,3,935,341,935,0,187,418.1447118,341,0,113.6666667,196.8764418,288.8073569,1.810704432,631167.1429,1641917.286,4354484,5,4418170,1104542.5,2166717.382,4354490,26,46662,23331,32398.2185,46240,422,0,0,0,0,168,104,1.13169027,0.6790141620000001,0,935,141.7777778,318.1189942,101199.6944,0,0,0,0,1,0,0,0,0,159.5,187,113.6666667,0,0,0,0,0,0,5,935,3,341,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
41806,6,2/16/2018 1:47,4110462,5,3,935,309,935,0,187,418.1447118,309,0,103,178.4012332,302.6423794,1.9462532440000002,587208.8571,1515959.727,4024747,7,4110462,1027615.5,1998218.221,4024756,30,54493,27246.5,38175.98801,54241,252,0,0,0,0,168,104,1.216408277,0.729844966,0,935,138.2222222,315.784253,99719.69444,0,0,0,0,1,0,0,0,0,155.5,187,103,0,0,0,0,0,0,5,935,3,309,237,211,1,32,0,0,0,0,0,0,0,0,Benign,53:48.2,87.236.232.200
